Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1977.1945
FDW14,OUT017,1320.51
NCN55,OUT010,767.6259
FDQ58,OUT017,2605.1956
FDY38,OUT027,5881.843
FDH56,OUT046,2004.3104
FDL48,OUT018,716.4536
FDC48,OUT027,2030.961
FDN33,OUT045,1695.3314
FDA36,OUT017,3002.8489
FDT44,OUT017,1998.9797
FDQ56,OUT045,1452.794
NCC54,OUT019,647.6955
FDU11,OUT049,2144.666
DRL59,OUT013,847.03906
FDM24,OUT049,2672.3462
FDI57,OUT045,3139.8806
DRC12,OUT018,2596.7927
NCM42,OUT027,2739.7007
FDA46,OUT010,646.9174
FDA31,OUT013,2839.5342
NCJ31,OUT035,3661.1895
FDG52,OUT046,983.84534
NCL19,OUT019,413.39178
FDS10,OUT035,3053.1152
FDX22,OUT010,744.831
NCF19,OUT035,867.03503
NCE06,OUT046,2528.2815
DRC27,OUT046,3791.7864
FDE21,OUT035,2011.0262
NCR42,OUT019,213.78838
FDX51,OUT018,2522.428
NCR06,OUT018,520.23846
FDU31,OUT027,5572.976
FDU59,OUT017,2659.5168
FDR03,OUT027,5263.1787
FDS49,OUT027,2076.2622
FDD48,OUT010,273.85516
NCF18,OUT017,3173.6326
NCD43,OUT027,2605.4614
NCD54,OUT018,1999.3483
FDY19,OUT010,386.17255
NCY54,OUT017,2870.229
NCL19,OUT018,2019.1355
FDP23,OUT010,540.16864
FDC26,OUT013,1781.4762
FDR14,OUT010,291.65814
NCS41,OUT035,3067.1067
FDF41,OUT035,4016.6255
FDU34,OUT046,2078.6255
DRH11,OUT046,1027.6948
FDM03,OUT013,1681.6909
FDS31,OUT017,3017.506
FDJ20,OUT017,2071.04
FDV44,OUT027,4841.6587
FDG02,OUT049,3206.0347
FDA09,OUT013,2920.3958
FDT04,OUT013,695.1908
FDL58,OUT019,678.27637
FDE52,OUT045,1512.0839
FDW12,OUT035,2475.9846
FDL51,OUT017,3579.3743
NCY42,OUT027,3529.76
FDR07,OUT017,1638.088
FDN40,OUT045,2518.1045
FDB35,OUT027,2213.3772
FDA22,OUT017,2614.136
NCL06,OUT046,3386.6772
FDI35,OUT013,2815.9417
NCW42,OUT045,3437.1135
NCX06,OUT049,3012.5862
FDC37,OUT027,2541.0671
FDZ14,OUT018,1676.457
DRG49,OUT049,3511.2537
NCG06,OUT045,3729.842
DRC36,OUT045,2936.9646
FDV21,OUT019,373.184
FDB53,OUT046,2449.8298
DRP47,OUT019,704.033
FDA14,OUT013,2230.3604
DRC24,OUT035,2681.3533
FDW21,OUT018,1407.501
NCH29,OUT046,1656.5908
FDU58,OUT013,3056.0337
FDY27,OUT017,2922.8809
FDV56,OUT035,1867.0007
FDT59,OUT046,3674.6458
FDB23,OUT046,3256.946
FDR49,OUT045,827.622
FDB03,OUT010,789.709
FDN39,OUT045,2754.997
FDX02,OUT027,5611.056
FDQ16,OUT027,2670.99
FDU35,OUT018,1429.8917
NCT29,OUT013,1937.0051
FDZ27,OUT046,905.6158
FDN57,OUT017,2366.506
FDA03,OUT018,1948.9851
FDZ36,OUT045,3103.1807
NCU05,OUT013,1268.268
FDT39,OUT018,2034.6304
FDK60,OUT017,1659.6313
FDZ25,OUT017,2817.4856
FDG12,OUT046,2028.9384
DRB01,OUT019,677.4224
NCC43,OUT027,6184.141
FDX13,OUT019,794.0949
FDM22,OUT049,1050.2528
FDJ03,OUT027,1437.0481
FDU14,OUT018,3449.7363
FDB33,OUT010,477.2695
FDP27,OUT046,2843.8035
FDO38,OUT010,294.78244
FDE28,OUT027,5867.019
FDO27,OUT035,1687.6467
DRL23,OUT027,2690.0999
FDS28,OUT046,1023.9744
FDX24,OUT013,1438.208
FDZ02,OUT035,1644.5006
FDL46,OUT045,2042.3114
FDS60,OUT027,4244.067
NCO06,OUT017,610.43774
FDO16,OUT035,1456.8949
FDC60,OUT049,1523.3167
FDA48,OUT018,3088.852
FDZ36,OUT027,4627.0063
FDK27,OUT045,2063.1572
FDW23,OUT018,552.45825
FDM14,OUT018,1574.7496
FDM14,OUT013,1718.0996
FDW60,OUT018,2373.284
FDE21,OUT013,1847.7135
NCM42,OUT035,1922.8604
FDY59,OUT010,272.03506
DRI49,OUT049,1545.0283
FDT28,OUT019,446.1059
FDQ22,OUT018,479.34634
FDR60,OUT049,1404.3567
FDC50,OUT019,391.32816
FDV24,OUT013,2311.7695
DRF48,OUT010,644.79254
FDQ47,OUT046,789.8688
DRN36,OUT049,1662.7966
NCY06,OUT035,2238.0547
FDE52,OUT035,1522.3925
NCB54,OUT045,2137.2354
NCF31,OUT035,2611.891
FDJ08,OUT027,4862.8525
NCC07,OUT017,1810.1161
NCD19,OUT027,1523.5398
FDL46,OUT049,2156.826
FDM20,OUT045,3840.0903
NCI06,OUT010,577.6168
DRM11,OUT035,4000.553
NCH07,OUT018,2182.4067
FDS23,OUT013,2009.7129
FDO49,OUT018,676.19366
FDS35,OUT049,1186.855
DRK39,OUT045,1396.5656
DRI39,OUT049,1070.2494
FDV04,OUT017,2642.7651
NCN14,OUT035,3056.988
FDH08,OUT013,3988.3313
FDS20,OUT046,2909.4502
FDV40,OUT049,1348.4193
FDZ48,OUT010,273.07455
FDS24,OUT027,2215.6313
FDK44,OUT049,2955.168
FDS48,OUT045,2410.214
FDK26,OUT010,497.57162
FDD23,OUT045,3152.9692
NCH54,OUT017,2696.7385
NCP14,OUT010,366.79108
FDM60,OUT010,229.97998
FDV24,OUT017,2431.925
FDH08,OUT018,3120.2988
FDS12,OUT027,2943.241
FDR39,OUT027,4627.256
FDP12,OUT027,1217.1058
DRF60,OUT027,5845.574
FDC09,OUT035,1762.3611
FDF50,OUT018,2513.1414
FDG28,OUT035,3909.9697
NCE19,OUT017,945.1339
NCM53,OUT010,363.8574
NCN18,OUT049,1972.658
FDF32,OUT035,3321.0332
FDF11,OUT013,3748.546
DRI59,OUT049,3588.9404
NCG54,OUT035,2864.0378
FDM44,OUT046,1728.3037
FDT57,OUT018,3011.4182
FDV24,OUT046,2622.3442
FDI50,OUT019,766.6528
FDS09,OUT035,972.7916
NCC31,OUT027,3889.2925
FDQ07,OUT019,692.2147
FDC22,OUT017,3221.4019
FDZ56,OUT046,2715.535
FDZ40,OUT019,215.04785
FDS46,OUT027,2844.0227
DRD24,OUT045,2423.2278
FDV45,OUT017,3139.5645
FDL26,OUT045,2549.4573
FDA56,OUT018,1743.1052
FDN27,OUT046,1969.2203
FDM20,OUT049,3809.296
FDO16,OUT017,1399.2004
FDL03,OUT035,3258.0054
FDE58,OUT046,1985.4397
FDI02,OUT027,2761.547
NCC55,OUT019,299.0071
FDR03,OUT018,2646.2144
FDB14,OUT017,1564.9144
FDR45,OUT013,3424.9375
NCN07,OUT017,2202.2466
FDM51,OUT019,317.3874
FDT52,OUT027,6072.5796
FDL26,OUT046,2599.3535
NCZ42,OUT046,3309.4373
DRI47,OUT019,423.6186
FDW40,OUT013,2270.654
FDN34,OUT046,2732.7297
FDS01,OUT035,2989.5906
NCG55,OUT045,1988.9283
FDC11,OUT035,1614.2026
FDX35,OUT018,3074.472
NCB06,OUT046,2535.187
FDR09,OUT019,539.0677
FDC53,OUT017,1637.3125
FDY45,OUT013,3789.0913
FDA22,OUT010,607.7933
FDE02,OUT035,1639.4865
FDW21,OUT045,1781.8523
FDV34,OUT046,1355.804
FDS59,OUT049,1904.6536
NCW17,OUT017,2146.246
NCK54,OUT046,1953.0736
FDG17,OUT019,794.3735
FDG35,OUT017,2919.7258
FDD08,OUT010,297.90305
NCO07,OUT017,3455.1528
FDJ10,OUT010,202.5631
FDW36,OUT017,1747.824
FDW21,OUT010,381.5746
FDY19,OUT017,1998.9797
DRE03,OUT013,761.37976
NCC55,OUT049,801.06683
FDH52,OUT010,239.31767
FDO09,OUT017,4071.9658
FDU43,OUT045,3718.272
FDX09,OUT010,598.67035
FDH40,OUT019,252.72734
FDW58,OUT017,1782.0035
FDC47,OUT017,3653.165
NCR41,OUT035,1689.6794
DRG49,OUT035,3630.2888
FDC52,OUT027,3794.0767
FDY13,OUT046,1322.3517
FDY35,OUT013,760.7407
FDI35,OUT017,3034.119
NCU18,OUT049,2461.2883
FDY33,OUT018,2137.2805
FDC15,OUT027,3906.2883
FDU01,OUT049,3181.5159
NCU42,OUT046,2626.156
NCV29,OUT018,2419.0012
NCY30,OUT017,3013.9038
FDQ46,OUT049,2059.666
FDG58,OUT027,3740.4058
FDK33,OUT017,3483.5671
NCD07,OUT045,1972.9663
NCX29,OUT027,3611.177
NCT42,OUT013,2342.659
DRN59,OUT035,823.9425
FDI44,OUT035,1375.0042
FDA45,OUT049,3007.042
FDP31,OUT045,1111.2405
FDY01,OUT046,2017.8076
FDT09,OUT018,1828.3655
DRH03,OUT027,2378.1946
FDA36,OUT018,2551.1445
NCF31,OUT017,2554.9802
FDG14,OUT049,2614.1396
FDG28,OUT027,6088.1807
FDU14,OUT049,3957.8467
FDY47,OUT019,411.0897
FDI56,OUT049,1608.5542
DRD01,OUT013,946.4772
FDM22,OUT046,1054.6523
FDH33,OUT013,689.4674
DRZ24,OUT013,1914.8895
NCQ38,OUT046,1792.0748
FDO16,OUT027,2180.916
FDU07,OUT027,3732.3232
NCB07,OUT013,3117.7427
FDU48,OUT045,2148.6816
NCM43,OUT045,2726.0276
FDR31,OUT010,427.98157
DRK49,OUT018,511.38644
NCI30,OUT010,800.5075
DRD60,OUT017,3024.8289
NCG19,OUT046,3291.7166
FDH12,OUT035,1667.1742
FDM32,OUT035,1584.199
FDM27,OUT035,2705.908
NCU53,OUT027,4204.9307
NCQ18,OUT046,1689.0305
FDS10,OUT013,2786.3186
FDB33,OUT027,3957.177
